train/target,fra,eus,ces,dan,nld,est,fin,gaa,glg,hin,ind,ita,kor,lat,lav,tur,pol,por,rus,cat,eng,ukr,hun,hnu,huo,jpn,tel,vie
nld,0.926480871041854,0.8363560904752023,0.8860023605635218,0.9017615176151762,0.9133105203123628,0.8113597893548994,0.6410582548969728,0.9484079000403064,0.9461910519951632,0.802481755970128,0.8928797970187123,0.87328739359546,0.8711322963706305,0.8578066014906591,0.7287624271511827,0.7919288782339426,0.7928271652041206,0.9222191503087273,0.8548701545317208,0.944973619914309,0.8683194947959303,0.8839070485006267,0.8988439306358381,0.9013837799964968,0.8988439306358381,0.259049811497014,0.8640483383685801,0.8065832899079382
fin,0.9231844970532416,0.8327038804731272,0.8302591597398358,0.8954703832752613,0.7763446521014302,0.8210591364625595,0.8302594759603155,0.9466612924895876,0.9465269380626092,0.8019990345571741,0.8813828100222011,0.8698824483177949,0.8691252717845793,0.8130868260574968,0.7467946520397669,0.7724503046648686,0.7703166730255627,0.919638742972998,0.8388430798315427,0.9412910307708652,0.8530581218570927,0.843313084562723,0.8937642319145209,0.8900858293921877,0.8900858293921877,0.2599673039068495,0.8580060422960725,0.7985930171964565
ces,0.917790430526421,0.8121601992114547,0.9384621179779512,0.8783391405342624,0.7609897341405633,0.7808108761653993,0.5961587382345459,0.9438062609162972,0.9438062609162972,0.7858704602890649,0.8781319378369806,0.857640859343332,0.8104198026425824,0.8140547865647082,0.7843675008570449,0.7588652482269503,0.7919114841663487,0.914293613491844,0.8144522183868272,0.9379094224708756,0.8413051105133903,0.8588371420306624,0.883692415484323,0.8753722193028551,0.8753722193028551,0.2590831748573716,0.8308157099697885,0.7777488275143304
fra,0.9778243931675156,0.850798920937954,0.8847027950076592,0.907181571815718,0.810300956392033,0.8355678551277573,0.6518061561943526,0.9505239822652156,0.9505239822652156,0.8021126160661044,0.8941484300666033,0.8986623429266315,0.870128784077605,0.8737779498596457,0.8158381899211519,0.809809209869144,0.8003052270125907,0.9337388259146624,0.8590225087984336,0.952303388690202,0.8828207227224886,0.8846784302381641,0.905937992643195,0.905937992643195,0.905937992643195,0.2617744859262225,0.877643504531722,0.8056279312141741
por,0.9443612026770551,0.8489313135505292,0.8883378117073906,0.91182733255904,0.8040712468193384,0.8337139632983154,0.6666878656830323,0.9455192798602714,0.9459895203546956,0.8069966209501093,0.8935141135426578,0.9033644102148358,0.8744773373473825,0.8805536734101249,0.8229002399725746,0.7958245929477574,0.7880961465089661,0.9610174177495162,0.8665676403318507,0.954410254594384,0.8845749035200562,0.8736862404782567,0.9164477141355754,0.9164477141355754,0.9133823787002978,0.2638596959485759,0.877643504531722,0.8072780962306757
rus,0.9346718609529516,0.8388462336584354,0.8658182868335803,0.9063104916763454,0.7873124506449065,0.8304629355974099,0.6235054693462223,0.9496842670966008,0.9514308746473196,0.8016866854076157,0.8778940691405012,0.8795297932711795,0.861348051513631,0.8637111605846481,0.7902639698320192,0.7909299770252722,0.7744372376955361,0.9274721223850336,0.9500535923772228,0.946655571686555,0.864752660507543,0.8886317616430431,0.9100543002277106,0.9096163951655282,0.9096163951655282,0.2613574439217518,0.8746223564954683,0.8017196456487754
cat,0.9390670262711018,0.8517534758248599,0.8927073654604355,0.9090205187766164,0.8082828814600334,0.8332303393428088,0.6599465784787586,0.9533454252317614,0.9526064758833804,0.8032484311554079,0.8920076117982874,0.8941224158897446,0.8751463455427329,0.8822960023231052,0.8185121700377099,0.8010188792328439,0.7893170545593285,0.938715325776426,0.850937233620566,0.9742218759958924,0.8744591275874167,0.881785748722399,0.9111052723769488,0.9123314065510596,0.9123314065510596,0.2539563384824119,0.8746223564954683,0.7942504776793469
tur,0.9275796623713914,0.8434529985474165,0.8572298535948369,0.898664343786295,0.7884531016934281,0.8027620301458932,0.6378148053930298,0.9489453177482198,0.94645976084912,0.8033620126643383,0.8788455439264193,0.8717470612079449,0.8654457267101522,0.8555802923240732,0.7769626328419609,0.9231844970532416,0.7788630293780999,0.9212054188554052,0.8576552701984184,0.9433801919195496,0.8628230616302187,0.8619226689808119,0.9053249255561394,0.9039236293571554,0.9039236293571554,0.2560582301849442,0.8746223564954683,0.7966822998089282
lav,0.9079013085605834,0.7857646814691844,0.8505060144145049,0.8830816879597367,0.7312450644906554,0.7806228001827024,0.6036631900279827,0.9426978368937255,0.9403802230283488,0.7964335406195872,0.8777354900095148,0.8458046209971626,0.8221274460612142,0.8259607008034072,0.9107987658553308,0.7543701927879333,0.7526135062953071,0.9177034374712008,0.8297956737869977,0.9385467936687796,0.8457490352005613,0.8566194195352425,0.8568926256787528,0.8568926256787528,0.8568926256787528,0.2559803823441097,0.8580060422960725,0.7920792079207921
lat,0.9300769153930676,0.8244864079684582,0.8400529871173501,0.8975029036004646,0.7575677809949987,0.810714957414224,0.6308827270414653,0.9348716915222356,0.9348716915222356,0.8074509469858308,0.8751189343482397,0.8825293879205512,0.7996320454925573,0.9389216919949666,0.7620843332190607,0.7801418439716312,0.7605494086226631,0.9223113077135748,0.8443879919316043,0.9409900499274104,0.858262191556543,0.8420595892392247,0.9024347521457348,0.9024347521457348,0.8990190926607111,0.2690310168040125,0.8700906344410876,0.8028487059232239
