train/target,pcm,amh,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,swl,lit,bel,mar,cop,tam,gle,hun,tel,afr
de,0.0915,0.0306,0.0827,0.1607,0.2081,0.2089,0.1764,0.0305,0.2109,0.1237,0.3152,0.3505,0.4094,0.4776,0.4391,0.6072,0.6596,0.6208,0.7894,0.8058,0.938,0.7691,0.8624,0.8507,0.8558,0.9359
fro,0.0993,0.1393,0.1615,0.1228,0.1708,0.161,0.212,0.1344,0.1425,0.1632,0.2324,0.3875,0.4898,0.5148,0.4482,0.5677,0.727,0.6406,0.7808,0.8013,0.9483,0.7577,0.8611,0.8487,0.8599,0.9357
es,0.2583,0.1565,0.1845,0.2452,0.2888,0.3185,0.2803,0.1777,0.3369,0.2084,0.4331,0.4152,0.5427,0.5543,0.445,0.5952,0.5355,0.6009,0.8111,0.7812,0.9397,0.7664,0.8652,0.8353,0.8807,0.9315
fr,0.3121,0.0134,0.0549,0.1901,0.3106,0.3733,0.3187,0.0223,0.2167,0.1051,0.3695,0.3344,0.5434,0.5552,0.4294,0.6054,0.6489,0.6302,0.8032,0.8036,0.9341,0.7526,0.862,0.8365,0.8516,0.9391
fi,0.0935,0.0651,0.1288,0.2574,0.3944,0.411,0.3233,0.1491,0.2765,0.0228,0.443,0.3859,0.5784,0.6212,0.4405,0.6267,0.6809,0.6868,0.822,0.7902,0.9419,0.7732,0.8644,0.8556,0.8585,0.9351
grc,0.0974,0.1431,0.1496,0.1343,0.1988,0.2021,0.1498,0.09,0.1749,0.1703,0.1047,0.3598,0.5175,0.5566,0.4447,0.6114,0.7766,0.6377,0.8111,0.7701,0.9462,0.7618,0.8667,0.8522,0.8585,0.9356
no,0.0374,0.0109,0.0191,0.1834,0.2267,0.2329,0.1699,0.0482,0.1937,0.0076,0.4403,0.2465,0.3724,0.5509,0.4069,0.5767,0.7128,0.5925,0.8148,0.7812,0.9384,0.759,0.8627,0.8445,0.8516,0.9449
ar,0.1558,0.115,0.1721,0.0956,0.2081,0.3048,0.2318,0.1435,0.2534,0.2969,0.0805,0.1935,0.2104,0.1987,0.2962,0.282,0.0142,0.1632,0.1295,0.25,0.5075,0.2698,0.304,0.1616,0.2816,0.1179
la,0.1209,0,0.0007,0.0257,0.1739,0.089,0.1537,0.0005,0,0.001,0.1633,0.3536,0.5016,0.5582,0.4282,0.5782,0.6809,0.6585,0.8061,0.8013,0.9505,0.759,0.8551,0.8493,0.8544,0.9345
et,0.1321,0.0163,0.0323,0.1975,0.3416,0.4349,0.2319,0.0086,0.2549,0.0257,0.4459,0.393,0.5177,0.6313,0.4664,0.6333,0.3972,0.6566,0.8198,0.7924,0.9328,0.7407,0.8605,0.853,0.8419,0.9329
ko,0.0777,0.1279,0.242,0.1514,0.1801,0.1884,0.1342,0.125,0.3808,0.2607,0.1712,0.5056,0.3375,0.5247,0.5558,0.653,0.6312,0.6208,0.7533,0.8237,0.9397,0.7659,0.8442,0.8538,0.8738,0.933
ja,0.1515,0.2045,0.1771,0.1324,0.3012,0.3116,0.1905,0.1818,0.2333,0.1827,0.2393,0.251,0.2785,0.1894,0.2473,0.1938,0.3652,0.2849,0.5007,0.4643,0.9156,0.3445,0.7815,0.8729,0.7101,0.9377
