train/target,pcm,tha,yor,wbp,tgl,bre,yue,kpv,san,fao,bxr,kmr,hsb,kaz,hye,lit,bel,mar,tam,gle,hun,tel,afr
dan,0.0807,0.0312,0.1782,0.2702,0.3904,0.2409,0.0187,0.2304,0.0447,0.4916,0.3647,0.4955,0.6331,0.447,0.6276,0.6594,0.83,0.7768,0.7604,0.8761,0.8579,0.8641,0.9447
ind,0.187,0.0974,0.2106,0.3509,0.4041,0.2561,0.0797,0.2167,0.1361,0.3607,0.4724,0.5623,0.6012,0.5455,0.6543,0.6604,0.8148,0.8036,0.776,0.8737,0.8521,0.8779,0.9387
ukr,0.0133,0.0234,0.1674,0.1739,0.1952,0.1278,0.0064,0.4053,0.0062,0.168,0.4552,0.3583,0.5226,0.4579,0.6661,0.6698,0.8517,0.8103,0.771,0.8663,0.883,0.8807,0.9413
fas,0.1473,0.1546,0.074,0.5466,0.274,0.1497,0.1357,0.1893,0.1327,0.2521,0.4094,0.5387,0.5808,0.5119,0.5626,0.5981,0.7656,0.8192,0.7746,0.8666,0.8647,0.8627,0.9382
heb,0.118,0.1798,0.1815,0.3602,0.2911,0.1965,0.0463,0.2757,0.1451,0.3463,0.3957,0.562,0.5447,0.4441,0.5864,0.5981,0.7793,0.779,0.7526,0.8591,0.855,0.846,0.9354
eus,0.228,0.2323,0.2779,0.382,0.387,0.2718,0.23,0.311,0.2521,0.4102,0.4438,0.5488,0.6117,0.5065,0.6503,0.6472,0.8191,0.8259,0.7916,0.87,0.8487,0.8835,0.9393
lav,0.0582,0.0339,0.2522,0.413,0.3801,0.199,0.0947,0.2318,0.039,0.3149,0.3769,0.5526,0.6348,0.407,0.6315,0.684,0.8437,0.7902,0.7728,0.8456,0.8558,0.8655,0.9338
slv,0.1988,0.0532,0.2191,0.4006,0.3493,0.2937,0.0073,0.2347,0.0533,0.3659,0.4315,0.5127,0.6861,0.4094,0.6579,0.6802,0.8415,0.8259,0.771,0.8586,0.8498,0.8571,0.9401
hrv,0.1898,0.1868,0.256,0.3416,0.4658,0.3314,0.0793,0.3506,0.245,0.406,0.4217,0.506,0.7112,0.46,0.6631,0.6925,0.8596,0.8192,0.7673,0.8609,0.8516,0.871,0.9357
ron,0.2003,0.0539,0.2597,0.3292,0.387,0.3222,0.1884,0.324,0.2217,0.392,0.4018,0.5703,0.5726,0.4548,0.6144,0.6104,0.7858,0.8058,0.7563,0.8608,0.8464,0.8585,0.9333
slk,0.1584,0.0398,0.2805,0.4224,0.4829,0.2978,0.1041,0.3081,0.1827,0.3745,0.3563,0.5588,0.6577,0.4702,0.6509,0.6443,0.8538,0.8147,0.7842,0.8144,0.8554,0.8779,0.9398
bul,0.0175,0.143,0.1931,0.2205,0.2397,0.1551,0.1145,0.3772,0.1984,0.2563,0.4396,0.5374,0.6461,0.4683,0.648,0.6849,0.835,0.8036,0.7673,0.8701,0.8752,0.8863,0.9469
por,0.2667,0.1761,0.2786,0.3292,0.3596,0.2846,0.1398,0.3197,0.2536,0.4628,0.4098,0.5516,0.5496,0.3908,0.6161,0.6377,0.8039,0.7924,0.7522,0.8659,0.8409,0.853,0.9352
nld,0.106,0.0311,0.1492,0.264,0.2671,0.1934,0.0093,0.1994,0.0994,0.3068,0.2819,0.4238,0.5779,0.4344,0.5991,0.6292,0.8408,0.808,0.7572,0.8557,0.8531,0.8821,0.9419
eng,0.5337,0.0843,0.2872,0.3261,0.3973,0.3205,0.0426,0.3254,0.1632,0.4436,0.4277,0.5326,0.5659,0.4712,0.6451,0.6736,0.8177,0.7946,0.7366,0.8714,0.8492,0.8571,0.9362
ita,0.0684,0.0291,0.1864,0.1957,0.2055,0.213,0.0073,0.1973,0.0114,0.2124,0.3002,0.4243,0.4908,0.3414,0.4706,0.6226,0.8191,0.8013,0.76,0.8597,0.8435,0.871,0.8105
cat,0.2631,0.1585,0.263,0.2981,0.339,0.2914,0.1869,0.2001,0.1637,0.3961,0.3676,0.5081,0.5415,0.464,0.6058,0.317,0.602,0.7812,0.7412,0.8657,0.8441,0.8655,0.9311
hin,0.0338,0.0891,0.1756,0.3882,0.2603,0.1496,0.1823,0.221,0.2203,0.2728,0.4045,0.5585,0.5454,0.4844,0.5816,0.6179,0.7533,0.8013,0.7545,0.8604,0.8412,0.8766,0.9361
pol,0.1294,0.2006,0.2972,0.4255,0.4692,0.3049,0.1959,0.3808,0.2845,0.3883,0.4245,0.5359,0.6938,0.4798,0.6707,0.6528,0.8473,0.808,0.7765,0.8708,0.8503,0.8696,0.938
deu,0.0915,0.0827,0.1607,0.2081,0.2089,0.1764,0.0305,0.2109,0.1237,0.3152,0.3505,0.4094,0.4776,0.4391,0.6072,0.6208,0.7894,0.8058,0.7691,0.8624,0.8507,0.8558,0.9359
fro,0.0993,0.1615,0.1228,0.1708,0.161,0.212,0.1344,0.1425,0.1632,0.2324,0.3875,0.4898,0.5148,0.4482,0.5677,0.6406,0.7808,0.8013,0.7577,0.8611,0.8487,0.8599,0.9357
spa,0.2583,0.1845,0.2452,0.2888,0.3185,0.2803,0.1777,0.3369,0.2084,0.4331,0.4152,0.5427,0.5543,0.445,0.5952,0.6009,0.8111,0.7812,0.7664,0.8652,0.8353,0.8807,0.9315
fra,0.3121,0.0549,0.1901,0.3106,0.3733,0.3187,0.0223,0.2167,0.1051,0.3695,0.3344,0.5434,0.5552,0.4294,0.6054,0.6302,0.8032,0.8036,0.7526,0.862,0.8365,0.8516,0.9391
fin,0.0935,0.1288,0.2574,0.3944,0.411,0.3233,0.1491,0.2765,0.0228,0.443,0.3859,0.5784,0.6212,0.4405,0.6267,0.6868,0.822,0.7902,0.7732,0.8644,0.8556,0.8585,0.9351
grc,0.0974,0.1496,0.1343,0.1988,0.2021,0.1498,0.09,0.1749,0.1703,0.1047,0.3598,0.5175,0.5566,0.4447,0.6114,0.6377,0.8111,0.7701,0.7618,0.8667,0.8522,0.8585,0.9356
nor,0.0374,0.0191,0.1834,0.2267,0.2329,0.1699,0.0482,0.1937,0.0076,0.4403,0.2465,0.3724,0.5509,0.4069,0.5767,0.5925,0.8148,0.7812,0.759,0.8627,0.8445,0.8516,0.9449
ara,0.1558,0.1721,0.0956,0.2081,0.3048,0.2318,0.1435,0.2534,0.2969,0.0805,0.1935,0.2104,0.1987,0.2962,0.282,0.1632,0.1295,0.25,0.2698,0.304,0.1616,0.2816,0.1179
lat,0.1209,0.0007,0.0257,0.1739,0.089,0.1537,0.0005,0.0,0.001,0.1633,0.3536,0.5016,0.5582,0.4282,0.5782,0.6585,0.8061,0.8013,0.759,0.8551,0.8493,0.8544,0.9345
est,0.1321,0.0323,0.1975,0.3416,0.4349,0.2319,0.0086,0.2549,0.0257,0.4459,0.393,0.5177,0.6313,0.4664,0.6333,0.6566,0.8198,0.7924,0.7407,0.8605,0.853,0.8419,0.9329
kor,0.0777,0.242,0.1514,0.1801,0.1884,0.1342,0.125,0.3808,0.2607,0.1712,0.5056,0.3375,0.5247,0.5558,0.653,0.6208,0.7533,0.8237,0.7659,0.8442,0.8538,0.8738,0.933
jpn,0.1515,0.1771,0.1324,0.3012,0.3116,0.1905,0.1818,0.2333,0.1827,0.2393,0.251,0.2785,0.1894,0.2473,0.1938,0.2849,0.5007,0.4643,0.3445,0.7815,0.8729,0.7101,0.9377
rus,0.0314,0.0885,0.1607,0.2267,0.2397,0.1626,0.0192,0.4384,0.1522,0.2605,0.4771,0.4176,0.5712,0.5266,0.6593,0.6925,0.8531,0.7969,0.7036,0.8589,0.8553,0.8669,0.9369
ces,0.1928,0.2396,0.256,0.4161,0.4007,0.3227,0.1165,0.36,0.1927,0.4099,0.4223,0.5317,0.6811,0.5111,0.6546,0.6462,0.8336,0.7969,0.7224,0.855,0.8323,0.8682,0.9306
